title,actor_1,actor_2,actor_3,director,genres,all_info
resident evil: extinction,Milla Jovovich,Mike Epps,James Tumminia,Russell Mulcahy,Action Horror Science Fiction Thriller,Milla Jovovich Mike Epps James Tumminia Russell Mulcahy Action Horror Science Fiction Thriller
blended,Bella Thorne,Adam Sandler,Joel McHale,Frank Coraci,Comedy Romance,Bella Thorne Adam Sandler Joel McHale Frank Coraci Comedy Romance
last holiday,LL Cool J,Alicia Witt,Timothy Hutton,Wayne Wang,Adventure Comedy Drama,LL Cool J Alicia Witt Timothy Hutton Wayne Wang Adventure Comedy Drama
the river wild,Meryl Streep,Glenn Morshower,William Lucking,Curtis Hanson,Action Adventure Crime Thriller,Meryl Streep Glenn Morshower William Lucking Curtis Hanson Action Adventure Crime Thriller
the indian in the cupboard,Steve Coogan,Vincent Kartheiser,David Keith,Frank Oz,Drama Family Fantasy,Steve Coogan Vincent Kartheiser David Keith Frank Oz Drama Family Fantasy
savages,Demián Bichir,Shea Whigham,Gary Stretch,Oliver Stone,Crime Drama Thriller,Demián Bichir Shea Whigham Gary Stretch Oliver Stone Crime Drama Thriller
cellular,Richard Burgi,Valerie Cruz,Will Beinbrink,David R. Ellis,Action Crime Thriller,Richard Burgi Valerie Cruz Will Beinbrink David R. Ellis Action Crime Thriller
johnny english,Kevin McNally,Natalie Imbruglia,Ben Miller,Peter Howitt,Action Adventure Comedy,Kevin McNally Natalie Imbruglia Ben Miller Peter Howitt Action Adventure Comedy
the ant bully,Nicolas Cage,Meryl Streep,Julia Roberts,John A. Davis,Adventure Animation Comedy Family Fantasy,Nicolas Cage Meryl Streep Julia Roberts John A. Davis Adventure Animation Comedy Family Fantasy
dune,Virginia Madsen,Jürgen Prochnow,José Ferrer,David Lynch,Action Adventure Science Fiction,Virginia Madsen Jürgen Prochnow José Ferrer David Lynch Action Adventure Science Fiction
across the universe,Jim Sturgess,T.V. Carpio,Robert Clohessy,Julie Taymor,Drama Fantasy Musical Romance,Jim Sturgess T.V. Carpio Robert Clohessy Julie Taymor Drama Fantasy Musical Romance
revolutionary road,Leonardo DiCaprio,Kate Winslet,Joe Komara,Sam Mendes,Drama Romance,Leonardo DiCaprio Kate Winslet Joe Komara Sam Mendes Drama Romance
16 blocks,Bruce Willis,David Zayas,Sasha Roiz,Richard Donner,Action Crime Drama Thriller,Bruce Willis David Zayas Sasha Roiz Richard Donner Action Crime Drama Thriller
babylon a.d.,Vin Diesel,Charlotte Rampling,David Belle,Mathieu Kassovitz,Action Adventure Science Fiction Thriller,Vin Diesel Charlotte Rampling David Belle Mathieu Kassovitz Action Adventure Science Fiction Thriller
the glimmer man,Alexa PenaVega,Bob Gunton,Keenen Ivory Wayans,John Gray,Action Comedy Crime Drama Thriller,Alexa PenaVega Bob Gunton Keenen Ivory Wayans John Gray Action Comedy Crime Drama Thriller
multiplicity,John de Lancie,Brian Doyle-Murray,Obba Babatundé,Harold Ramis,Comedy Romance Science Fiction,John de Lancie Brian Doyle-Murray Obba Babatundé Harold Ramis Comedy Romance Science Fiction
aliens in the attic,Malese Jow,Carter Jenkins,Tim Meadows,John Schultz,Adventure Comedy Family Fantasy Science Fiction,Malese Jow Carter Jenkins Tim Meadows John Schultz Adventure Comedy Family Fantasy Science Fiction
the pledge,Costas Mandylor,Adrien Dorval,Nels Lennarson,Sean Penn,Crime Drama Mystery Thriller,Costas Mandylor Adrien Dorval Nels Lennarson Sean Penn Crime Drama Mystery Thriller
the producers,Jon Lovitz,Will Ferrell,Matthew Broderick,Susan Stroman,Comedy Musical,Jon Lovitz Will Ferrell Matthew Broderick Susan Stroman Comedy Musical
the phantom,Cary-Hiroyuki Tagawa,Treat Williams,Kristy Swanson,Simon Wincer,Action Adventure Comedy Fantasy,Cary-Hiroyuki Tagawa Treat Williams Kristy Swanson Simon Wincer Action Adventure Comedy Fantasy
all the pretty horses,Matt Damon,Henry Thomas,Sam Shepard,Billy Bob Thornton,Drama Romance Western,Matt Damon Henry Thomas Sam Shepard Billy Bob Thornton Drama Romance Western
nixon,Anthony Hopkins,Bob Hoskins,Joan Allen,Oliver Stone,Biography Drama History,Anthony Hopkins Bob Hoskins Joan Allen Oliver Stone Biography Drama History
the ghost writer,Jim Belushi,Olivia Williams,Timothy Hutton,Roman Polanski,Mystery Thriller,Jim Belushi Olivia Williams Timothy Hutton Roman Polanski Mystery Thriller
deep rising,Djimon Hounsou,Jason Flemyng,Wes Studi,Stephen Sommers,Action Adventure Horror Science Fiction,Djimon Hounsou Jason Flemyng Wes Studi Stephen Sommers Action Adventure Horror Science Fiction
miracle at st. anna,Joseph Gordon-Levitt,Omari Hardwick,Laz Alonso,Spike Lee,Action Crime Drama Thriller War,Joseph Gordon-Levitt Omari Hardwick Laz Alonso Spike Lee Action Crime Drama Thriller War
curse of the golden flower,Li Gong,Ye Liu,Man Li,Yimou Zhang,Drama Romance,Li Gong Ye Liu Man Li Yimou Zhang Drama Romance
bangkok dangerous,Nicolas Cage,Charlie Yeung,James With,Danny Pang,Action Crime Thriller,Nicolas Cage Charlie Yeung James With Danny Pang Action Crime Thriller
big trouble,Zooey Deschanel,Janeane Garofalo,Omar Epps,Barry Sonnenfeld,Comedy Crime Thriller,Zooey Deschanel Janeane Garofalo Omar Epps Barry Sonnenfeld Comedy Crime Thriller
love in the time of cholera,Marcela Mar,Giovanna Mezzogiorno,Unax Ugalde,Mike Newell,Drama Romance,Marcela Mar Giovanna Mezzogiorno Unax Ugalde Mike Newell Drama Romance
the returned,Pierre Perrier,Clotilde Hesme,Céline Sallette,unknown,Drama Fantasy Horror Mystery,Pierre Perrier Clotilde Hesme Céline Sallette unknown Drama Fantasy Horror Mystery
shadow conspiracy,Sam Waterston,Ben Gazzara,Nicholas Turturro,George P. Cosmatos,Action Thriller,Sam Waterston Ben Gazzara Nicholas Turturro George P. Cosmatos Action Thriller
johnny english reborn,Daniel Kaluuya,Tim McInnerny,Togo Igawa,Oliver Parker,Action Adventure Comedy Crime,Daniel Kaluuya Tim McInnerny Togo Igawa Oliver Parker Action Adventure Comedy Crime
foodfight!,Jerry Stiller,Larry Miller,Harvey Fierstein,Lawrence Kasanoff,Action Animation Comedy Family Fantasy,Jerry Stiller Larry Miller Harvey Fierstein Lawrence Kasanoff Action Animation Comedy Family Fantasy
argo,Clea DuVall,Scoot McNairy,Tate Donovan,Ben Affleck,Biography Drama History Thriller,Clea DuVall Scoot McNairy Tate Donovan Ben Affleck Biography Drama History Thriller
the fugitive,Harrison Ford,Daniel Roebuck,Sela Ward,Andrew Davis,Action Adventure Crime Drama Mystery Thriller,Harrison Ford Daniel Roebuck Sela Ward Andrew Davis Action Adventure Crime Drama Mystery Thriller
the bounty hunter,Gerard Butler,Dorian Missick,Peter Greene,Andy Tennant,Action Comedy Romance,Gerard Butler Dorian Missick Peter Greene Andy Tennant Action Comedy Romance
sleepers,Robert De Niro,Brad Pitt,Minnie Driver,Barry Levinson,Crime Drama Thriller,Robert De Niro Brad Pitt Minnie Driver Barry Levinson Crime Drama Thriller
rambo: first blood part ii,Sylvester Stallone,Julia Nickson,Martin Kove,George P. Cosmatos,Action Adventure Thriller War,Sylvester Stallone Julia Nickson Martin Kove George P. Cosmatos Action Adventure Thriller War
the juror,Joseph Gordon-Levitt,Demi Moore,Anne Heche,Brian Gibson,Drama Thriller,Joseph Gordon-Levitt Demi Moore Anne Heche Brian Gibson Drama Thriller
pinocchio,Mel Blanc,Dickie Jones,Cliff Edwards,Norman Ferguson,Animation Family Fantasy Musical,Mel Blanc Dickie Jones Cliff Edwards Norman Ferguson Animation Family Fantasy Musical
heaven's gate,Jeff Bridges,Sam Waterston,Isabelle Huppert,Michael Cimino,Adventure Drama Western,Jeff Bridges Sam Waterston Isabelle Huppert Michael Cimino Adventure Drama Western
underworld: evolution,Sophia Myles,Tony Curran,Derek Jacobi,Len Wiseman,Action Adventure Fantasy Science Fiction Thriller,Sophia Myles Tony Curran Derek Jacobi Len Wiseman Action Adventure Fantasy Science Fiction Thriller
victor frankenstein,Daniel Radcliffe,Spencer Wilding,Daniel Mays,Paul McGuigan,Drama Horror Science Fiction Thriller,Daniel Radcliffe Spencer Wilding Daniel Mays Paul McGuigan Drama Horror Science Fiction Thriller
finding forrester,F. Murray Abraham,Rob Brown,Michael Nouri,Gus Van Sant,Drama,F. Murray Abraham Rob Brown Michael Nouri Gus Van Sant Drama
28 days,Steve Buscemi,Viggo Mortensen,Elizabeth Perkins,Betty Thomas,Comedy Drama,Steve Buscemi Viggo Mortensen Elizabeth Perkins Betty Thomas Comedy Drama
unleashed,Morgan Freeman,Jet Li,Bob Hoskins,Louis Leterrier,Action Crime Drama Thriller,Morgan Freeman Jet Li Bob Hoskins Louis Leterrier Action Crime Drama Thriller
the sweetest thing,Judith Chapman,Lillian Adams,Chelsea Bond,Roger Kumble,Comedy Romance,Judith Chapman Lillian Adams Chelsea Bond Roger Kumble Comedy Romance
the firm,Tom Cruise,Holly Hunter,Wilford Brimley,Sydney Pollack,Drama Mystery Thriller,Tom Cruise Holly Hunter Wilford Brimley Sydney Pollack Drama Mystery Thriller
charlie st. cloud,Augustus Prew,Charlie Tahan,Valerie Tian,Burr Steers,Drama Fantasy Romance,Augustus Prew Charlie Tahan Valerie Tian Burr Steers Drama Fantasy Romance
the mechanic,Jason Statham,Tony Goldwyn,Mini Anden,Simon West,Action Crime Thriller,Jason Statham Tony Goldwyn Mini Anden Simon West Action Crime Thriller
21 jump street,Channing Tatum,Dax Flame,Rob Riggle,Phil Lord,Action Comedy Crime,Channing Tatum Dax Flame Rob Riggle Phil Lord Action Comedy Crime
notting hill,Julia Roberts,Clarke Peters,Dylan Moran,Roger Michell,Comedy Drama Romance,Julia Roberts Clarke Peters Dylan Moran Roger Michell Comedy Drama Romance
chicken run,Imelda Staunton,Miranda Richardson,Julia Sawalha,Peter Lord,Adventure Animation Comedy Drama Family,Imelda Staunton Miranda Richardson Julia Sawalha Peter Lord Adventure Animation Comedy Drama Family
along came polly,Philip Seymour Hoffman,Masi Oka,Debra Messing,John Hamburg,Comedy Romance,Philip Seymour Hoffman Masi Oka Debra Messing John Hamburg Comedy Romance
boomerang,John Witherspoon,Eartha Kitt,Geoffrey Holder,Reginald Hudlin,Comedy Drama Romance,John Witherspoon Eartha Kitt Geoffrey Holder Reginald Hudlin Comedy Drama Romance
the heat,Michael Rapaport,William Xifaras,Demián Bichir,Paul Feig,Action Comedy Crime,Michael Rapaport William Xifaras Demián Bichir Paul Feig Action Comedy Crime
cleopatra,Martin Landau,Richard Burton,Roddy McDowall,Joseph L. Mankiewicz,Biography Drama History Romance,Martin Landau Richard Burton Roddy McDowall Joseph L. Mankiewicz Biography Drama History Romance
here comes the boom,Salma Hayek,Reggie Lee,Charice,Frank Coraci,Action Comedy Sport,Salma Hayek Reggie Lee Charice Frank Coraci Action Comedy Sport
high crimes,Morgan Freeman,Adam Scott,Bruce Davison,Carl Franklin,Crime Drama Mystery Thriller,Morgan Freeman Adam Scott Bruce Davison Carl Franklin Crime Drama Mystery Thriller
the mirror has two faces,Jeff Bridges,Austin Pendleton,Mimi Rogers,Barbra Streisand,Comedy Drama Romance,Jeff Bridges Austin Pendleton Mimi Rogers Barbra Streisand Comedy Drama Romance
the mothman prophecies,Debra Messing,Will Patton,David Eigenberg,Mark Pellington,Drama Horror Mystery Thriller,Debra Messing Will Patton David Eigenberg Mark Pellington Drama Horror Mystery Thriller
brüno,Bono,Elton John,Slash,Larry Charles,Comedy,Bono Elton John Slash Larry Charles Comedy
licence to kill,Robert Davi,Talisa Soto,Anthony Zerbe,John Glen,Action Adventure Thriller,Robert Davi Talisa Soto Anthony Zerbe John Glen Action Adventure Thriller
red riding hood,Gary Oldman,Billy Burke,Virginia Madsen,Catherine Hardwicke,Fantasy Horror Mystery Thriller,Gary Oldman Billy Burke Virginia Madsen Catherine Hardwicke Fantasy Horror Mystery Thriller
15 minutes,Robert De Niro,Charlize Theron,Kelsey Grammer,John Herzfeld,Action Crime Drama Thriller,Robert De Niro Charlize Theron Kelsey Grammer John Herzfeld Action Crime Drama Thriller
super mario bros.,Bob Hoskins,Fisher Stevens,Fiona Shaw,Annabel Jankel,Adventure Comedy Family Fantasy Science Fiction,Bob Hoskins Fisher Stevens Fiona Shaw Annabel Jankel Adventure Comedy Family Fantasy Science Fiction
lord of war,Nicolas Cage,Jeremy Crutchley,Jared Burke,Andrew Niccol,Crime Drama Thriller,Nicolas Cage Jeremy Crutchley Jared Burke Andrew Niccol Crime Drama Thriller
hero,Jet Li,Tony Chiu Wai Leung,Maggie Cheung,Yimou Zhang,Action Adventure History,Jet Li Tony Chiu Wai Leung Maggie Cheung Yimou Zhang Action Adventure History
one for the money,Fisher Stevens,Debbie Reynolds,Patrick Fischler,Julie Anne Robinson,Action Comedy Crime Romance Thriller,Fisher Stevens Debbie Reynolds Patrick Fischler Julie Anne Robinson Action Comedy Crime Romance Thriller
the interview,James Franco,Randall Park,Anders Holm,Evan Goldberg,Comedy,James Franco Randall Park Anders Holm Evan Goldberg Comedy
the warrior's way,Tony Cox,Dong-gun Jang,Jed Brophy,Sngmoo Lee,Action Fantasy Western,Tony Cox Dong-gun Jang Jed Brophy Sngmoo Lee Action Fantasy Western
mchale's navy,Tim Conway,Gavin MacLeod,Bob Hastings,unknown,Comedy War,Tim Conway Gavin MacLeod Bob Hastings unknown Comedy War
micmacs,Omar Sy,Dany Boon,André Dussollier,Jean-Pierre Jeunet,Action Comedy Crime,Omar Sy Dany Boon André Dussollier Jean-Pierre Jeunet Action Comedy Crime
8 mile,Mekhi Phifer,Omar Benson Miller,Evan Jones,Curtis Hanson,Drama Music,Mekhi Phifer Omar Benson Miller Evan Jones Curtis Hanson Drama Music
animal kingdom: let's go ape,Jamel Debbouze,Youssef Hajdi,Mélissa Theuriau,Jamel Debbouze,Adventure Animation Comedy Family,Jamel Debbouze Youssef Hajdi Mélissa Theuriau Jamel Debbouze Adventure Animation Comedy Family
a knight's tale,Heath Ledger,Rufus Sewell,Bérénice Bejo,Brian Helgeland,Action Adventure Romance,Heath Ledger Rufus Sewell Bérénice Bejo Brian Helgeland Action Adventure Romance
the medallion,Julian Sands,Lee Evans,Anthony Chau-Sang Wong,Gordon Chan,Action Comedy Fantasy,Julian Sands Lee Evans Anthony Chau-Sang Wong Gordon Chan Action Comedy Fantasy
the sixth sense,Bruce Willis,Haley Joel Osment,Olivia Williams,M. Night Shyamalan,Drama Mystery Thriller,Bruce Willis Haley Joel Osment Olivia Williams M. Night Shyamalan Drama Mystery Thriller
man on a ledge,Robert Clohessy,Mandy Gonzalez,J. Smith-Cameron,Asger Leth,Action Crime Thriller,Robert Clohessy Mandy Gonzalez J. Smith-Cameron Asger Leth Action Crime Thriller
the big year,Joel McHale,Kevin Pollak,JoBeth Williams,David Frankel,Comedy,Joel McHale Kevin Pollak JoBeth Williams David Frankel Comedy
the karate kid,Martin Kove,William Zabka,William Bassett,John G. Avildsen,Action Drama Family Sport,Martin Kove William Zabka William Bassett John G. Avildsen Action Drama Family Sport
american hustle,Jennifer Lawrence,Christian Bale,Bradley Cooper,David O. Russell,Crime Drama,Jennifer Lawrence Christian Bale Bradley Cooper David O. Russell Crime Drama
the proposal,Ryan Reynolds,Denis O'Hare,Craig T. Nelson,Anne Fletcher,Comedy Drama Romance,Ryan Reynolds Denis O'Hare Craig T. Nelson Anne Fletcher Comedy Drama Romance
double jeopardy,Bruce Greenwood,Annabeth Gish,Bruce Campbell,Bruce Beresford,Crime Mystery Thriller,Bruce Greenwood Annabeth Gish Bruce Campbell Bruce Beresford Crime Mystery Thriller
back to the future part ii,Lea Thompson,Jeffrey Weissman,Thomas F. Wilson,Robert Zemeckis,Adventure Comedy Science Fiction,Lea Thompson Jeffrey Weissman Thomas F. Wilson Robert Zemeckis Adventure Comedy Science Fiction
lucy,Scarlett Johansson,Morgan Freeman,Amr Waked,Luc Besson,Action Science Fiction Thriller,Scarlett Johansson Morgan Freeman Amr Waked Luc Besson Action Science Fiction Thriller
fifty shades of grey,Jennifer Ehle,Luke Grimes,Callum Rennie,Sam Taylor-Johnson,Drama Romance,Jennifer Ehle Luke Grimes Callum Rennie Sam Taylor-Johnson Drama Romance
spy kids 3-d: game over,Sylvester Stallone,Salma Hayek,Alexa PenaVega,Robert Rodriguez,Action Adventure Comedy Family Science Fiction,Sylvester Stallone Salma Hayek Alexa PenaVega Robert Rodriguez Action Adventure Comedy Family Science Fiction
a time to kill,Kevin Spacey,Matthew McConaughey,Oliver Platt,Joel Schumacher,Crime Drama Thriller,Kevin Spacey Matthew McConaughey Oliver Platt Joel Schumacher Crime Drama Thriller
cheaper by the dozen,Tom Welling,Alyson Stoner,Bonnie Hunt,Shawn Levy,Comedy Family,Tom Welling Alyson Stoner Bonnie Hunt Shawn Levy Comedy Family
lone survivor,Jerry Ferrara,Scott Elrod,Dan Bilzerian,Peter Berg,Action Biography Drama Thriller War,Jerry Ferrara Scott Elrod Dan Bilzerian Peter Berg Action Biography Drama Thriller War
a league of their own,Tom Hanks,Lori Petty,Rosie O'Donnell,Penny Marshall,Comedy Drama Sport,Tom Hanks Lori Petty Rosie O'Donnell Penny Marshall Comedy Drama Sport
the conjuring 2,Javier Botet,Frances O'Connor,Robin Atkin Downes,James Wan,Horror Mystery Thriller,Javier Botet Frances O'Connor Robin Atkin Downes James Wan Horror Mystery Thriller
the social network,Andrew Garfield,Dustin Fitzsimons,Marcella Lentz-Pope,David Fincher,Biography Drama,Andrew Garfield Dustin Fitzsimons Marcella Lentz-Pope David Fincher Biography Drama
he's just not that into you,Carmen Perez,Sabrina Revelle,Sachiko Ishida,Ken Kwapis,Comedy Drama Romance,Carmen Perez Sabrina Revelle Sachiko Ishida Ken Kwapis Comedy Drama Romance
scary movie 4,Beau Mirchoff,Carmen Electra,Regina Hall,David Zucker,Comedy,Beau Mirchoff Carmen Electra Regina Hall David Zucker Comedy
scream 3,Kelly Rutherford,Roger Jackson,Nancy O'Dell,Wes Craven,Horror Mystery,Kelly Rutherford Roger Jackson Nancy O'Dell Wes Craven Horror Mystery
back to the future part iii,Lea Thompson,Jeffrey Weissman,Thomas F. Wilson,Robert Zemeckis,Adventure Comedy Science Fiction Western,Lea Thompson Jeffrey Weissman Thomas F. Wilson Robert Zemeckis Adventure Comedy Science Fiction Western
get hard,Will Ferrell,Alison Brie,Craig T. Nelson,Etan Cohen,Comedy Crime,Will Ferrell Alison Brie Craig T. Nelson Etan Cohen Comedy Crime
bram stoker's dracula,Keanu Reeves,Anthony Hopkins,Gary Oldman,Francis Ford Coppola,Fantasy Horror Romance,Keanu Reeves Anthony Hopkins Gary Oldman Francis Ford Coppola Fantasy Horror Romance
julie & julia,Meryl Streep,Mary Lynn Rajskub,Vanessa Ferlito,Nora Ephron,Biography Drama Romance,Meryl Streep Mary Lynn Rajskub Vanessa Ferlito Nora Ephron Biography Drama Romance
42,Harrison Ford,Christopher Meloni,Nicole Beharie,Brian Helgeland,Biography Drama Sport,Harrison Ford Christopher Meloni Nicole Beharie Brian Helgeland Biography Drama Sport
the talented mr. ripley,Philip Seymour Hoffman,Matt Damon,Jack Davenport,Anthony Minghella,Crime Drama Thriller,Philip Seymour Hoffman Matt Damon Jack Davenport Anthony Minghella Crime Drama Thriller
dumb and dumber to,Bill Murray,Kathleen Turner,Rob Riggle,Bobby Farrelly,Comedy,Bill Murray Kathleen Turner Rob Riggle Bobby Farrelly Comedy
eight below,Paul Walker,Bruce Greenwood,Wendy Crewson,Frank Marshall,Adventure Drama Family,Paul Walker Bruce Greenwood Wendy Crewson Frank Marshall Adventure Drama Family
the intern,Robert De Niro,Anne Hathaway,Rene Russo,Nancy Meyers,Comedy Drama,Robert De Niro Anne Hathaway Rene Russo Nancy Meyers Comedy Drama
